property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
1,30,3,2,0,2,3078,0,0,0,1,1,5.1
0,104,4,4,4,3,2020,0,0,1,2,2,1.76
0,19,3,3,4,3,1890,0,0,0,0,2,2.45
0,81,3,5,3,3,1527,1,0,1,0,2,1.5
0,110,2,2,2,1,473,0,0,0,2,1,0.32
0,61,4,4,3,4,2477,0,0,0,1,0,7.4
1,63,2,9,4,1,1125,0,0,1,1,2,5
1,32,9,9,0,3,7000,0,0,0,1,1,13.5
1,30,7,7,4,0,5000,1,0,0,2,1,5.65
0,90,4,5,2,1,2675,1,0,0,1,2,2.55
0,102,3,2,3,1,998,0,0,0,1,1,1.16
1,27,4,4,1,3,3000,0,0,0,1,1,6
0,106,4,5,4,0,1895,0,0,1,2,0,0.92
1,33,4,4,4,0,1800,0,1,0,1,1,5.5
0,79,3,3,3,1,1893,0,0,0,1,0,1.8
0,112,2,2,0,3,567,0,0,0,1,2,0.3
0,9,3,2,1,3,1111,0,0,0,1,1,0.42
0,39,3,3,2,2,1401,0,0,0,1,1,1.3
0,88,3,3,4,3,1900,1,0,0,2,0,1.75
0,104,2,2,2,1,796,0,0,0,1,1,0.5
0,41,2,2,2,1,1492,0,0,0,2,1,1.2
0,106,3,2,2,3,1473,0,0,2,1,0,0.66
0,86,2,2,4,3,1582,0,0,0,2,0,1.78
0,73,3,2,2,1,630,0,0,0,1,1,0.42
1,51,5,6,3,0,5490,1,1,0,2,2,15.5
0,100,3,3,4,1,1582,0,0,0,2,2,2.65
0,98,2,2,3,3,1630,0,1,0,0,2,1.11
0,29,2,2,2,1,1249,0,0,0,2,0,1.75
1,35,9,9,4,0,3240,1,1,1,2,1,11.25
0,6,3,3,2,1,1337,0,0,0,2,1,2.03
0,10,3,4,3,3,1305,1,0,0,1,2,1.14
1,30,5,5,4,2,1557,0,0,1,2,1,2.8
1,7,4,3,4,1,4000,0,0,0,2,0,3.25
1,33,5,6,3,2,4518,1,1,1,2,1,17
0,112,2,2,4,3,1131,0,0,0,0,0,0.72
